@type,name,identifier,url,image,startDate,endDate,location/name,location/identifier,location/url,location/address/streetAddress,location/address/addressLocality,location/address/postalCode,location/address/addressCountry/identifier,location/address/addressCountry/name,location/address/x-timezone,location/geo/latitude,location/geo/longitude
Festival,808 Festival,jambase:12782262,https://www.jambase.com/festival/808-festival-2024,https://www.jambase.com/wp-content/uploads/2022/09/808-festival-2022-1480x832.jpg,2024-12-06,2024-12-08,Bangkok International Trade & Exhibition Centre (BITEC),jambase:5395006,https://www.jambase.com/venue/bangkok-international-trade-exhibition-centre-bitec,88 Debaratna Road,Bangkok,10260,TH,Thailand,Asia/Bangkok,13.6695,100.6109
Festival,Cyclops Cove,jambase:12470695,https://www.jambase.com/festival/cyclops-cove-2024,https://www.jambase.com/wp-content/uploads/2024/07/cyclops-cove-2024-featured-1480x832.jpg,2024-12-06,2024-12-08,Sunset Cove Amphitheater,jambase:66712,https://www.jambase.com/venue/sunset-cove-amphitheater,12551 Glades Road,Boca Raton,33498,US,United States,America/New_York,26.3646,-80.2314
Festival,Montreux Jazz Festival Japan,jambase:12876261,https://www.jambase.com/festival/montreux-jazz-festival-japan-2024,https://www.jambase.com/wp-content/uploads/2024/09/s-2400x1500_v-frms_webp_39cda709-dfd5-466e-9e36-347aa47d55d7-1480x832.webp,2024-12-06,2024-12-08,Pia Arena MM,jambase:6164464,https://www.jambase.com/venue/pia-arena-mm,3 Chome-２-38 Minatomirai,Yokohama,220-0012,JP,Japan,Asia/Tokyo,35.4553,139.6262
Festival,BERGFESTival,jambase:12967772,https://www.jambase.com/festival/bergfestival-2024,https://www.jambase.com/wp-content/uploads/2022/09/berg-festival-2022-1480x832.jpg,2024-12-06,2024-12-07,Saalbach-Hinterglemm,jambase:9282244,https://www.jambase.com/venue/saalbach-hinterglemm,Saalbach-Hinterglemm,Saalbach,5753,AT,Austria,Europe/Vienna,47.3919,12.6416
Festival,Magnetic Fields Festival,jambase:12782232,https://www.jambase.com/festival/magnetic-fields-festival-2024,https://www.jambase.com/wp-content/uploads/2022/09/magnetic-fields-2022-1480x832.jpg,2024-12-06,2024-12-08,Alsisar Mahal,jambase:3301646,https://www.jambase.com/venue/alsisar-mahal, Jhunjhunu Village,Alsisar,331025,IN,India,Asia/Kolkata,28.3077,75.2884
Festival,Orange Blossom Revue,jambase:12301213,https://www.jambase.com/festival/orange-blossom-revue-2024,https://www.jambase.com/wp-content/uploads/2024/06/orange-blossom-revuew-2024-featured-1480x832.jpg,2024-12-06,2024-12-07,Lake Wailes Park,jambase:7455823,https://www.jambase.com/venue/lake-wailes-park,205 N 5th St,Lake Wales,33853,US,United States,America/New_York,27.9028,-81.5804
Festival,Decibel Metal & Beer Fest Denver,jambase:12703355,https://www.jambase.com/festival/decibel-metal-beer-fest-denver-2024,https://www.jambase.com/wp-content/uploads/2024/08/decibel-metal-and-beer-fest-2024-featured-e1724419385494-1480x832.jpg,2024-12-06,2024-12-07,Summit Music Hall,jambase:68444,https://www.jambase.com/venue/summit-music-hall,1902 Blake St,Denver,80202,US,United States,America/Denver,39.7533,-104.9951
Festival,Palm Tree Music Festival Brisbane,jambase:12575623,https://www.jambase.com/festival/palm-tree-music-festival-brisbane-2024,https://www.jambase.com/wp-content/uploads/2022/04/palm-tree-music-fest-2022-1480x832.png,2024-12-07,2024-12-07,Sandstone Point Hotel,jambase:4051625,https://www.jambase.com/venue/sandstone-point-hotel,1800 Bribie Island Rd,Sandstone Point,4511,AU,Australia,Australia/Brisbane,-27.0755,153.1431
Festival,Good Things Sydney,jambase:12700283,https://www.jambase.com/festival/good-things-sydney-2024,https://www.jambase.com/wp-content/uploads/2024/08/good-things-brisbane-2024-featured-e1724344182217-1480x832.jpg,2024-12-07,2024-12-07,Centennial Park,jambase:193341,https://www.jambase.com/venue/centennial-park-sydney,"Between Oxford Street and Alison Road, Paddington",Sydney,2021,AU,Australia,Australia/Sydney,-33.8978,151.2238
Festival,Rise Festival,jambase:12285252,https://www.jambase.com/festival/rise-festival-2024,https://www.jambase.com/wp-content/uploads/2024/06/347856795_973445690446758_6378888572312373298_n-e1717252578578-1480x832.jpg,2024-12-07,2024-12-14,Les Deux Alpes,jambase:12285255,https://www.jambase.com/venue/les-deux-alpes,Les Deux Alpes,Les Deux Alpes,38860,FR,France,Europe/Paris,45.0176,6.1249
Festival,Electric Sea Festival,jambase:12863893,https://www.jambase.com/festival/electric-sea-festival-2024,https://www.jambase.com/wp-content/uploads/2024/09/electric-sea-festival-2024-featured-e1727364871134-1480x832.jpg,2024-12-07,2024-12-07,Electric Sea Festival,jambase:7893780,https://www.jambase.com/venue/electric-sea-festival,Zur Hansemesse 1-2,Rostock,18106,DE,Germany,Europe/Berlin,54.1389,12.0724
Festival,Toxicator,jambase:12858699,https://www.jambase.com/festival/toxicator-2024,https://www.jambase.com/wp-content/uploads/2024/09/toxicator-2024-featured-e1727285560781-1480x832.jpg,2024-12-07,2024-12-07,Maimarkthalle,jambase:673472,https://www.jambase.com/venue/maimarkthalle,Xaver-Fuhr-Straße,Mannheim,68163,DE,Germany,Europe/Berlin,49.4669,8.5218
Festival,The Mexico Incident,jambase:12040868,https://www.jambase.com/festival/the-mexico-incident-2024,https://www.jambase.com/wp-content/uploads/2024/04/sci2024-twitter-share-1024x576-1-1480x832.png,2024-12-07,2024-12-11,Dreams Sapphire Resort,jambase:68151,https://www.jambase.com/venue/dreams-sapphire-resort,Super Manzana 11 Manzana 9 Lote 10 S/N,Puerto Morelos,77580,MX,Mexico,America/Cancun,20.8398,-86.8878
Festival,Good Day Sunshine Margaret River,jambase:12975239,https://www.jambase.com/festival/good-day-sunshine-margaret-river-2024,https://www.jambase.com/wp-content/uploads/2024/10/good-day-sunshine-festival-2024-featured-e1728999350595-1480x832.jpg,2024-12-07,2024-12-07,Gloucester Park Football Oval,jambase:12975607,https://www.jambase.com/venue/gloucester-park-football-oval,33 Wallcliffe Rd,Margaret River,6285,AU,Australia,Australia/Perth,-33.9541,115.0693
Festival,Galaxy Station,jambase:12655421,https://www.jambase.com/festival/galaxy-station-2024,https://www.jambase.com/wp-content/uploads/2024/08/galaxy-station-2024-featured-e1723579667571-1480x832.jpg,2024-12-07,2024-12-08,Bayou Music Center,jambase:67828,https://www.jambase.com/venue/bayou-music-center,520 Texas Ave,Houston,77002,US,United States,America/Chicago,29.7624,-95.3666
Festival,Lockdown Festival,jambase:12707179,https://www.jambase.com/festival/lockdown-festival-2024,https://www.jambase.com/wp-content/uploads/2024/08/453257335_1376666243253975_7638737444522728394_n-e1724518478175-1480x832.jpg,2024-12-07,2024-12-08,Parque do Lago,jambase:12873007,https://www.jambase.com/venue/parque-do-lago,Parque do Lago,Dourado,,BR,Brazil,America/Campo_Grande,-22.1309,-48.3001
Festival,Jamaican Music & Food Festival,jambase:12877759,https://www.jambase.com/festival/jamaican-music-food-festival-2024,https://www.jambase.com/wp-content/uploads/2022/11/jmff-2022-2-1480x832.jpg,2024-12-07,2024-12-07,Seaworks,jambase:5949394,https://www.jambase.com/venue/seaworks,82 Nelson Pl,Williamstown,3016,AU,Australia,Australia/Melbourne,-37.8632,144.9071
Festival,Energy de Verão,jambase:12782945,https://www.jambase.com/festival/energy-de-verao-2024-2,https://www.jambase.com/wp-content/uploads/2024/09/9b07d8_9e6383668454452eb296ea593c6f0f68mv2-1480x832.webp,2024-12-07,2024-12-08,Energy Music Festival,jambase:7023908,https://www.jambase.com/venue/energy-music-festival,Grande Porto Alegre,Porto Alegre,90220-000,BR,Brazil,America/Sao_Paulo,-30.0368,-51.209
Festival,Palm Tree Music Festival Melbourne,jambase:12575756,https://www.jambase.com/festival/palm-tree-music-festival-melbourne,https://www.jambase.com/wp-content/uploads/2022/04/palm-tree-music-fest-2022-1480x832.png,2024-12-08,2024-12-08,Sidney Myer Music Bowl,jambase:422523,https://www.jambase.com/venue/sidney-myer-music-bowl-melbourne-vic-au,21 Linlithgow Ave,Melbourne,3000,AU,Australia,Australia/Melbourne,-37.8143,144.9632
Festival,Good Things Brisbane,jambase:12699949,https://www.jambase.com/festival/good-things-brisbane-2024,https://www.jambase.com/wp-content/uploads/2024/08/good-things-brisbane-2024-featured-e1724344182217-1480x832.jpg,2024-12-08,2024-12-08,Brisbane Showgrounds,jambase:2835336,https://www.jambase.com/venue/brisbane-showgrounds,600 Gregory Terrace,Brisbane,4006,AU,Australia,Australia/Brisbane,-27.451,153.032
Festival,Carpe Diem,jambase:12891431,https://www.jambase.com/festival/carpe-diem-2024,https://www.jambase.com/wp-content/uploads/2024/10/455638346_1098245161667335_7005530052931254305_n-1480x832.jpg,2024-12-08,2024-12-08,Águas Claras Espaço Brilhante,jambase:12891435,https://www.jambase.com/venue/aguas-claras-espaco-brilhante,Km 426 Rodovia Washington Luís,Cedral - SP,15895-000,BR,Brazil,America/Sao_Paulo,-20.9021,-49.3061
Festival,Jamrock Reggae Cruise,jambase:12053459,https://www.jambase.com/festival/jamrock-reggae-cruise-2024,https://www.jambase.com/wp-content/uploads/2024/04/jamrock-reggae-cruise-2024-featured-e1713799376452-1480x832.jpg,2024-12-09,2024-12-14,Port of Miami,jambase:326040,https://www.jambase.com/venue/port-of-miami,1015 N America Way,Miami,33132,US,United States,America/New_York,25.7849,-80.1896
Festival,Closer To The Sun,jambase:12278128,https://www.jambase.com/festival/closer-to-the-sun-2024,https://www.jambase.com/wp-content/uploads/2024/05/closer-to-the-sun-2024-featured-e1717165221551-1480x832.png,2024-12-11,2024-12-15,Hard Rock Hotel Riviera Maya,jambase:69362,https://www.jambase.com/venue/hard-rock-hotel-riviera-maya,"Carretera Cancún-Chetumal KM 72, Riviera Maya",Puerto Aventuras,77710,MX,Mexico,America/Cancun,20.5069,-87.2284
Festival,Soundstorm,jambase:12557099,https://www.jambase.com/festival/soundstorm-2024,https://www.jambase.com/wp-content/uploads/2024/07/soundstorm-2024-featured-1480x832.jpg,2024-12-12,2024-12-14,Banban,jambase:9389655,https://www.jambase.com/venue/banban,7084 ابي بكر الصديق 4477,Riyadh,13362,SA,Saudi Arabia,Asia/Riyadh,25.0045,46.5686
Festival,Strings & Sol,jambase:11843959,https://www.jambase.com/festival/strings-sol-2024,https://www.jambase.com/wp-content/uploads/2024/03/strings-sol-2024-featured-1480x832.jpg,2024-12-12,2024-12-16,Dreams Sapphire Resort,jambase:68151,https://www.jambase.com/venue/dreams-sapphire-resort,Super Manzana 11 Manzana 9 Lote 10 S/N,Puerto Morelos,77580,MX,Mexico,America/Cancun,20.8398,-86.8878
Festival,Wonderfruit,jambase:12782958,https://www.jambase.com/festival/wonderfruit-2024,https://www.jambase.com/wp-content/uploads/2024/09/448698230_1013867323455381_4278034062479749412_n-e1726081088518-1480x832.png,2024-12-12,2024-12-16,The Fields at Siam Country Club,jambase:2701567,https://www.jambase.com/venue/the-fields-at-siam-country-club,Pong,Chon Buri,20270,TH,Thailand,Asia/Bangkok,12.9172,100.9883
Festival,Rave On Snow,jambase:12878050,https://www.jambase.com/festival/rave-on-snow-2024,https://www.jambase.com/wp-content/uploads/2019/12/rave-on-snow-2019-featured-1480x832.jpg,2024-12-12,2024-12-15,Rave On Snow Festival,jambase:6188782,https://www.jambase.com/venue/rave-on-snow-festival,Glemmtaler Landesstraße 550,Saalbach,5753,AT,Austria,Europe/Vienna,47.3892,12.6409
Festival,Rolling Loud Miami,jambase:11973622,https://www.jambase.com/festival/rolling-loud-miami-2024,https://www.jambase.com/wp-content/uploads/2022/04/rolling-loud_logo-1480x832.jpg,2024-12-13,2024-12-15,Hard Rock Stadium,jambase:381857,https://www.jambase.com/venue/hard-rock-stadium,347 Don Shula Drive,Miami Gardens,33056,US,United States,America/New_York,25.9579,-80.2389
Festival,Djakarta Warehouse Project,jambase:12783036,https://www.jambase.com/festival/djakarta-warehouse-project-2024,https://www.jambase.com/wp-content/uploads/2024/09/454713972_887669483401987_5809935774799445598_n-1-e1726082005575-1480x832.jpg,2024-12-13,2024-12-15,GWK Festival Park,jambase:11090707,https://www.jambase.com/venue/gwk-festival-park,Jalan Kawasan Garuda Wisnu Kencana,Ungasan,80364,ID,Indonesia,Asia/Makassar,-8.807,115.1636
Festival,Cosmic Pacha,jambase:12891443,https://www.jambase.com/festival/cosmic-pacha-2024,https://www.jambase.com/wp-content/uploads/2024/10/459550245_1067514198710023_8862174707078664572_n-e1727888927869-1480x832.jpg,2024-12-13,2024-12-16,Santa Helena Eventos e Lazer,jambase:6946031,https://www.jambase.com/venue/santa-helena-eventos-e-lazer,Estrada do Saboo s/n,Mairiporã,,BR,Brazil,America/Sao_Paulo,-23.3298,-46.4475
Festival,Lotus Gathering,jambase:12143800,https://www.jambase.com/festival/lotus-gathering-2024,https://www.jambase.com/wp-content/uploads/2024/05/lotus-gathering-2024-featured-1480x832.jpg,2024-12-13,2024-12-16,Florida Sand Music Ranch,jambase:64227,https://www.jambase.com/venue/florida-sand-music-ranch-brooksville-fl-us,85 Myers Rd,Brooksville,34601,US-FL,Florida,US,America/New_York,28
Festival,Music Bank Global Festival,jambase:12761671,https://www.jambase.com/festival/music-bank-global-festival-2024,https://www.jambase.com/wp-content/uploads/2024/09/main_logo_v3-1480x832.webp,2024-12-14,2024-12-15,Fukuoka Dome,jambase:421986,https://www.jambase.com/venue/fukuoka-dome,"2 Chome-2-2 Jigyohama, Chūō-ku, Fukuoka, Fukuoka 810-8660, Japón",Fukuoka,810-8660,,,JP,Asia/Tokyo,
Festival,Tahoe Live,jambase:12805539,https://www.jambase.com/festival/tahoe-live-2024,https://www.jambase.com/wp-content/uploads/2022/06/tahoe-live-2022-1480x832.jpg,2024-12-14,2024-12-15,Palisades Tahoe,jambase:71957,https://www.jambase.com/venue/palisades-tahoe,1960 Squaw Valley Road,Olympic Valley,96146,US-CA,California,US,America/Los_Angeles,23
Festival,Bacardi NH7 Weekender Pune,jambase:13381406,https://www.jambase.com/festival/bacardi-nh7-weekender-pune-2024,https://www.jambase.com/wp-content/uploads/2024/11/nh7-weekender-2025-featured-e1732710498741-1480x832.jpg,2024-12-14,2024-12-15,Teerth Fields,jambase:11071679,https://www.jambase.com/venue/teerth-fields,Teerth Town Road,Pune,412115,,,IN,Asia/Kolkata,
Festival,Love Sessions,jambase:12783160,https://www.jambase.com/festival/love-sessions-2024,https://www.jambase.com/wp-content/uploads/2021/01/love-sessions-featured-1480x832.png,2024-12-14,2024-12-14,Riocentro,jambase:672948,https://www.jambase.com/venue/riocentro,6555 Avenida Salvador Allende,Rio de Janeiro,22783-127,,,BR,America/Sao_Paulo,
Festival,Epik,jambase:12968418,https://www.jambase.com/festival/epik-2024,https://www.jambase.com/wp-content/uploads/2023/10/epik-2023-featured-e1698152338211-1480x832.jpg,2024-12-14,2024-12-14,The Dome Sydney Showgrounds,jambase:5986356,https://www.jambase.com/venue/the-dome-sydney-showgrounds,1 Showground Road,Sydney Olympic Park,2127,AU-NSW,New South Wales,AU,Australia/Sydney,
Festival,Playground Sao Paulo,jambase:11768946,https://www.jambase.com/festival/playground-sao-paulo-2024,https://www.jambase.com/wp-content/uploads/2023/02/playground-music-fest-2023-1480x832.jpg,2024-12-14,2024-12-15,Luso Brasileiro Sao Jose Dos Campos,jambase:6945319,https://www.jambase.com/venue/luso-brasileiro-sao-jose-dos-campos,s/n Estrada Pedro Moacir de Almeida,São José dos Campos,12200-000,,,BR,America/Sao_Paulo,
Festival,Extrema Noir,jambase:12863379,https://www.jambase.com/festival/extrema-noir-2024,https://www.jambase.com/wp-content/uploads/2022/09/extrema-noir-2022-1480x832.jpg,2024-12-20,2024-12-21,Trixxo Arena,jambase:11090752,https://www.jambase.com/venue/trixxo-arena,70 Gouverneur Verwilghensingel,Hasselt,3500,,,BE,Europe/Brussels,
Festival,I Am Hardstyle,jambase:12813817,https://www.jambase.com/festival/i-am-hardstyle-2024,https://www.jambase.com/wp-content/uploads/2020/01/i-am-hardstyle-2022-1480x832.jpg,2024-12-21,2024-12-21,Autotron,jambase:5677536,https://www.jambase.com/venue/autotron,Graafsebaan 133,'s-Hertogenbosch,5248 NL,,,NL,Europe/Amsterdam,
Festival,Hardmission Prague,jambase:12863524,https://www.jambase.com/festival/hardmission-prague-2024-2,https://www.jambase.com/wp-content/uploads/2024/09/hardmission-relvelation-2024-featured-e1727363672899-1480x832.jpg,2024-12-21,2024-12-21,Sportovní hala FORTUNA,jambase:5840963,https://www.jambase.com/venue/sportovni-hala-fortuna-prague-cz,1a Za Elektrárnou,Prague,170 00,,,CZ,Europe/Prague,
Festival,Réveillon Amoré,jambase:13381546,https://www.jambase.com/festival/reveillon-amore-2024,https://www.jambase.com/wp-content/uploads/2024/11/reveillon-amore-2024-featured-e1732715161389-1480x832.png,2024-12-26,2024-12-31,Praia de Maracaípe,jambase:13381549,https://www.jambase.com/venue/praia-de-maracaipe,"Av. Beira Mar - Vila de Todos os Santos, 1",Ipojuca,55590-000,,,BR,America/Recife,
Festival,HiJinx Festival,jambase:12810510,https://www.jambase.com/festival/hijinx-festival-2024,https://www.jambase.com/wp-content/uploads/2022/09/hijinx-2022-1480x832.jpg,2024-12-27,2024-12-28,Pennsylvania Convention Center,jambase:328802,https://www.jambase.com/venue/pennsylvania-convention-center,1101 Arch Street,Philadelphia,19107,US-PA,Pennsylvania,US,America/New_York,5
Festival,Contact Festival,jambase:13033129,https://www.jambase.com/festival/contact-festival-2024,https://www.jambase.com/wp-content/uploads/2021/11/contact-featured-2021-1480x832.jpg,2024-12-27,2024-12-28,Vancouver Convention Centre,jambase:327322,https://www.jambase.com/venue/vancouver-convention-centre,1055 Canada Place,Vancouver,V6C 0C3,CA-BC,British Columbia,CA,America/Vancouver,
Festival,Woodford Folk Festival,jambase:13041285,https://www.jambase.com/festival/woodford-folk-festival-2024,https://www.jambase.com/wp-content/uploads/2023/09/screenshot-2023-09-28-at-3-27-10-pm-e1695929264124-1480x832.png,2024-12-27,2025-01-01,Woodford Festival Grounds,jambase:6142375,https://www.jambase.com/venue/woodford-festival-grounds,87 Woodrow Road,Woodford,4514,AU-QLD,Queensland,AU,Australia/Brisbane,
Festival,Jackpot,jambase:12863938,https://www.jambase.com/festival/jackpot-2024,https://www.jambase.com/wp-content/uploads/2024/09/jackpot-2024-featured-e1727367336896-1480x832.jpg,2024-12-27,2024-12-28,Downtown Las Vegas Events Center,jambase:346398,https://www.jambase.com/venue/downtown-las-vegas-events-center,200 S 3rd St,Las Vegas,89101,US-NV,Nevada,US,America/Los_Angeles,202
Festival,Festival Terra Azul,jambase:12891753,https://www.jambase.com/festival/festival-terra-azul-2024,https://www.jambase.com/wp-content/uploads/2024/10/402026963_911119117049470_9002675446867580425_n-e1727890792102-1480x832.png,2024-12-27,2025-01-02,CTG Farm Silva Neto,jambase:12891764,https://www.jambase.com/venue/ctg-farm-silva-neto,s/n Estrada Geral Do Moura,Canelinha - SC,88230-000,,,BR,America/Sao_Paulo,
Festival,Hidden Valley,jambase:12853076,https://www.jambase.com/festival/hidden-valley-2024,https://www.jambase.com/wp-content/uploads/2021/12/hidden-valley-2022-2-1480x832.jpg,2024-12-27,2024-12-27,Matakana Country Park,jambase:8190212,https://www.jambase.com/venue/matakana-country-park,RD5/1151 Leigh Road,Matakana,,,,NZ,Pacific/Auckland,
Festival,Elevated Frequencies,jambase:12910532,https://www.jambase.com/festival/elevated-frequencies-2024,https://www.jambase.com/wp-content/uploads/2024/10/elevated-frequencies-2024-featured-1480x832.jpg,2024-12-27,2024-12-28,Sunnyview Fairgrounds and Expo Center,jambase:388919,https://www.jambase.com/venue/sunnyview-fairgrounds-and-expo-center,500 E County Road Y,Oshkosh,54901,US-WI,Wisconsin,US,America/Chicago,73
Festival,Réveilloz,jambase:12892109,https://www.jambase.com/festival/reveilloz-2024,https://www.jambase.com/wp-content/uploads/2024/10/451477409_899465708885078_1203790164429192483_n-1-1480x832.jpg,2024-12-27,2025-01-02,Village Otherworld (Aldeia Outro Mundo),jambase:5414961,https://www.jambase.com/venue/village-otherworld-aldeia-outro-mundo,"Estrada do Mandutinho km 6,1 - CX Postal 07",Lagoinha,12130-000,,,BR,America/Sao_Paulo,
Festival,Universo Paralello,jambase:12891963,https://www.jambase.com/festival/universo-paralello-2024,https://www.jambase.com/wp-content/uploads/2024/10/452584175_1022968206163381_5762256590192269840_n-e1727892021592-1480x832.jpg,2024-12-27,2025-01-03,Pratigi Beach,jambase:5443303,https://www.jambase.com/venue/pratigi-beach,72P4+9Q Jatimana,Ituberá,,,,BR,America/Bahia,
Festival,Sunburn Goa,jambase:12855249,https://www.jambase.com/festival/sunburn-goa-2024,https://www.jambase.com/wp-content/uploads/2024/09/sunburn-festival-2024-featured-e1727266000675-1480x832.jpg,2024-12-28,2024-12-30,Vagator Beach,jambase:11298061,https://www.jambase.com/venue/vagator-beach-2,Vagator Beach,Vagator,403519,,,IN,Asia/Kolkata,
Festival,Countdown Japan,jambase:12963539,https://www.jambase.com/festival/countdown-japan-2024,https://www.jambase.com/wp-content/uploads/2024/10/screenshot-2024-10-11-at-2-20-46pm-e1728670957708-1480x832.png,2024-12-28,2024-12-31,Makuhari Messe,jambase:64141,https://www.jambase.com/venue/makuhari-messe,"2 Chome-1 Nakase, Mihama-ku",Tokyo,261-0023 JP,,,JP,Asia/Tokyo,
Festival,Lost Paradise,jambase:12575775,https://www.jambase.com/festival/lost-paradise-2024,https://www.jambase.com/wp-content/uploads/2024/07/lost-paradise-2024-featured-e1721920471423-1480x832.jpg,2024-12-28,2025-01-01,Glenworth Valley Outdoor Adventures,jambase:5816013,https://www.jambase.com/venue/glenworth-valley-outdoor-adventures,69 Cooks Rd,Glenworth Valley,2250,AU-NSW,New South Wales,AU,Australia/Sydney,
Festival,AfroFuture Culture Beach Jam,jambase:13381594,https://www.jambase.com/festival/afrofuture-culture-beach-jam-2024,https://www.jambase.com/wp-content/uploads/2024/11/afro-future-culture-beach-jam-2024-featured-e1732718075183-1480x832.jpg,2024-12-28,2024-12-29,Polo Beach Club,jambase:13381612,https://www.jambase.com/venue/polo-beach-club,"Number one, La Rd",Accra,00233,,,GH,Africa/Accra,
Festival,Lights All Night,jambase:12490926,https://www.jambase.com/festival/lights-all-night-2024,https://www.jambase.com/wp-content/uploads/2023/07/lights-all-night-2023-featured-1480x832.jpg,2024-12-28,2024-12-29,Market Hall,jambase:3486268,https://www.jambase.com/venue/market-hall-2,2200 Stemmons Fwy,Dallas,75207,US-TX,Texas,US,America/Chicago,11
Festival,Hidden Lakes,jambase:12651952,https://www.jambase.com/festival/hidden-lakes-2024,https://www.jambase.com/wp-content/uploads/2022/10/hidden-lakes-2022-1480x832.jpg,2024-12-28,2024-12-28,Hagley Park,jambase:6252069,https://www.jambase.com/venue/hagley-park,14 Riccarton Avenue,Christchurch,8011,,,NZ,Pacific/Auckland,
Festival,Liquicity Winterfestival,jambase:13381768,https://www.jambase.com/festival/liquicity-winterfestival-2024,https://www.jambase.com/wp-content/uploads/2024/11/liquicity-winterfestival-2024-featured-e1732719547839-1480x832.jpg,2024-12-28,2024-12-28,Klokgebouw,jambase:424621,https://www.jambase.com/venue/klokgebouw,Klokgebouw 50,Eindhoven,5617 AB,,,NL,Europe/Amsterdam,
Festival,Fly to the Moon,jambase:13289910,https://www.jambase.com/festival/fly-to-the-moon-2024,https://www.jambase.com/wp-content/uploads/2024/11/fly-to-the-moon-2024-featured-e1730984745385-1480x832.png,2024-12-28,2025-01-01,Island Hut Hotel,jambase:13289915,https://www.jambase.com/venue/island-hut-hotel,Koh Mak Island,ตำบล เกาะหมาก,23000,,,TH,Asia/Bangkok,
